feature,CW_mean,CCW_mean,diff_pct,p_value
acc_X_mean,0.002100974576425251,0.009533897486853096,-77.96310921821406,3.1155291020806455e-05
acc_X_std,0.1515238236083236,0.17546766620140303,-13.64572921691255,0.028129830749820655
acc_X_rms,0.152536203121822,0.17695121750625864,-13.797596155885783,0.025751820948209242
acc_X_peak,0.5861045740343429,0.6827573145477518,-14.156236550527504,0.018422388355972177
acc_X_crest,3.8544196903159285,3.939661682259887,-2.1636881239777304,0.04063264650217291
acc_X_kurtosis,0.36370203619463054,0.3773828207769494,-3.625174180995598,0.8154086278453307
acc_X_skewness,0.03056943813491666,-0.04068509126007657,-175.13670779181416,3.063431698103636e-05
acc_Y_mean,0.010755246479276458,0.027916491343333405,-61.47350199922289,0.00956638877733372
acc_Y_std,0.19439972710064377,0.27818040058217747,-30.117389041858107,0.004835933249518498
acc_Y_rms,0.197274395332536,0.2846071309987162,-30.68536454435295,0.003913566228437996
