feature1,feature2,correlation
acc_Y_rms,acc_Sum_rms,0.9942884828884861
acc_Z_rms,acc_Sum_rms,0.9848611673566384
acc_Y_rms,acc_Z_rms,0.9646827223121004
acc_X_rms,acc_Z_rms,0.9538388145691267
acc_X_rms,acc_Sum_rms,0.9519780330180309
acc_X_rms,acc_Y_rms,0.9212281833718462
acc_Y_rms,Gyro_Y_rms,0.7766844120882396
Gyro_Y_rms,acc_Sum_rms,0.7751685727314122
acc_Z_rms,Gyro_Y_rms,0.7420837324534555
acc_X_rms,Gyro_Y_rms,0.7167678992876709
Gyro_X_rms,Gyro_Y_rms,0.5680817480687722
acc_Z_rms,Gyro_X_rms,0.351721411333828
acc_X_rms,Gyro_X_rms,0.3358268546779207
Gyro_X_rms,acc_Sum_rms,0.32928953128812355
acc_Y_rms,Gyro_X_rms,0.3107416235237755
Gyro_X_rms,Gyro_Z_rms,0.24040388736682985
Gyro_Y_rms,Gyro_Z_rms,0.1856676034139454
acc_Y_rms,Gyro_Z_rms,-0.033910485862993466
Gyro_Z_rms,acc_Sum_rms,-0.03387436559499108
acc_Z_rms,Gyro_Z_rms,-0.033579865750078444
acc_X_rms,Gyro_Z_rms,-0.009904513632893032
