dataset,threshold,tn,fp,fn,tp,accuracy,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1
train,0.15,177,144,77,78,0.5357142857142857,0.35135135135135137,0.5032258064516129,0.41379310344827586,0.6968503937007874,0.5514018691588785,0.6156521739130434
val,0.15,44,44,2,2,0.5,0.043478260869565216,0.5,0.08,0.9565217391304348,0.5,0.6567164179104478
test,0.15,45,52,1,13,0.5225225225225225,0.2,0.9285714285714286,0.32911392405063294,0.9782608695652174,0.4639175257731959,0.6293706293706294
train,0.2,74,247,15,140,0.4495798319327731,0.36175710594315247,0.9032258064516129,0.5166051660516605,0.8314606741573034,0.23052959501557632,0.3609756097560976
val,0.2,22,66,0,4,0.2826086956521739,0.05714285714285714,1.0,0.1081081081081081,1.0,0.25,0.4
test,0.2,15,82,0,14,0.26126126126126126,0.14583333333333334,1.0,0.2545454545454546,1.0,0.15463917525773196,0.2678571428571429
train,0.25,53,268,0,155,0.4369747899159664,0.3664302600472813,1.0,0.5363321799307958,1.0,0.16510903426791276,0.28342245989304815
val,0.25,9,79,0,4,0.14130434782608695,0.04819277108433735,1.0,0.09195402298850576,1.0,0.10227272727272728,0.18556701030927836
test,0.25,7,90,0,14,0.1891891891891892,0.1346153846153846,1.0,0.23728813559322035,1.0,0.07216494845360824,0.1346153846153846
train,0.3,47,274,0,155,0.42436974789915966,0.3613053613053613,1.0,0.5308219178082191,1.0,0.14641744548286603,0.2554347826086957
val,0.3,9,79,0,4,0.14130434782608695,0.04819277108433735,1.0,0.09195402298850576,1.0,0.10227272727272728,0.18556701030927836
test,0.3,6,91,0,14,0.18018018018018017,0.13333333333333333,1.0,0.23529411764705882,1.0,0.061855670103092786,0.11650485436893204
train,0.35,40,281,0,155,0.4096638655462185,0.3555045871559633,1.0,0.5245346869712352,1.0,0.12461059190031153,0.22160664819944598
val,0.35,9,79,0,4,0.14130434782608695,0.04819277108433735,1.0,0.09195402298850576,1.0,0.10227272727272728,0.18556701030927836
test,0.35,6,91,0,14,0.18018018018018017,0.13333333333333333,1.0,0.23529411764705882,1.0,0.061855670103092786,0.11650485436893204
train,0.4,36,285,0,155,0.4012605042016807,0.3522727272727273,1.0,0.5210084033613446,1.0,0.11214953271028037,0.20168067226890757
val,0.4,9,79,0,4,0.14130434782608695,0.04819277108433735,1.0,0.09195402298850576,1.0,0.10227272727272728,0.18556701030927836
test,0.4,6,91,0,14,0.18018018018018017,0.13333333333333333,1.0,0.23529411764705882,1.0,0.061855670103092786,0.11650485436893204
train,0.45,35,286,0,155,0.39915966386554624,0.35147392290249435,1.0,0.5201342281879194,1.0,0.10903426791277258,0.19662921348314608
val,0.45,5,83,0,4,0.09782608695652174,0.04597701149425287,1.0,0.08791208791208792,1.0,0.056818181818181816,0.1075268817204301
test,0.45,6,91,0,14,0.18018018018018017,0.13333333333333333,1.0,0.23529411764705882,1.0,0.061855670103092786,0.11650485436893204
train,0.5,33,288,0,155,0.3949579831932773,0.34988713318284426,1.0,0.5183946488294315,1.0,0.102803738317757,0.1864406779661017
val,0.5,3,85,0,4,0.07608695652173914,0.0449438202247191,1.0,0.08602150537634408,1.0,0.03409090909090909,0.06593406593406592
test,0.5,6,91,0,14,0.18018018018018017,0.13333333333333333,1.0,0.23529411764705882,1.0,0.061855670103092786,0.11650485436893204
train,0.6,33,288,0,155,0.3949579831932773,0.34988713318284426,1.0,0.5183946488294315,1.0,0.102803738317757,0.1864406779661017
val,0.6,1,87,0,4,0.05434782608695652,0.04395604395604396,1.0,0.08421052631578947,1.0,0.011363636363636364,0.02247191011235955
test,0.6,6,91,0,14,0.18018018018018017,0.13333333333333333,1.0,0.23529411764705882,1.0,0.061855670103092786,0.11650485436893204
train,0.7,33,288,0,155,0.3949579831932773,0.34988713318284426,1.0,0.5183946488294315,1.0,0.102803738317757,0.1864406779661017
val,0.7,0,88,0,4,0.043478260869565216,0.043478260869565216,1.0,0.08333333333333333,0.0,0.0,0.0
test,0.7,5,92,0,14,0.17117117117117117,0.1320754716981132,1.0,0.23333333333333334,1.0,0.05154639175257732,0.0980392156862745
train,0.8,31,290,0,155,0.3907563025210084,0.34831460674157305,1.0,0.5166666666666667,1.0,0.09657320872274143,0.17613636363636365
val,0.8,0,88,0,4,0.043478260869565216,0.043478260869565216,1.0,0.08333333333333333,0.0,0.0,0.0
test,0.8,2,95,0,14,0.14414414414414414,0.12844036697247707,1.0,0.22764227642276422,1.0,0.020618556701030927,0.04040404040404041
