,acc_Y_rms_low,acc_Y_rms_mid,acc_Y_rms_high,acc_Sum_rms_low,acc_Sum_rms_mid,acc_Sum_rms_high,Gyro_Y_rms_low,Gyro_Y_rms_mid,Gyro_Y_rms_high
acc_Y_rms_low,1.0,0.7596936292714636,0.7246601493662619,0.7938407963405888,0.6999267565694491,0.7970321793265533,0.6746041529790052,0.6803536243326808,0.6779725479886958
acc_Y_rms_mid,0.7596936292714636,1.0,0.8701657803957742,0.8781841730251093,0.8851130421527277,0.9150450499537345,0.8034258833502753,0.8264721422262229,0.8256489044969313
acc_Y_rms_high,0.7246601493662619,0.8701657803957742,1.0,0.9522491751582512,0.8138340084850907,0.9500721425252694,0.9283590803518239,0.9410826382863409,0.9440004215491568
acc_Sum_rms_low,0.7938407963405888,0.8781841730251093,0.9522491751582512,1.0,0.8607232720455315,0.9669351117171158,0.929058251450308,0.9364136540790823,0.9365549543331039
acc_Sum_rms_mid,0.6999267565694491,0.8851130421527277,0.8138340084850907,0.8607232720455315,1.0,0.8843291973090689,0.7420537943335394,0.7680031600748657,0.7674211108519634
acc_Sum_rms_high,0.7970321793265533,0.9150450499537345,0.9500721425252694,0.9669351117171158,0.8843291973090689,1.0,0.9129900827133973,0.924782063911813,0.9243068964479919
Gyro_Y_rms_low,0.6746041529790052,0.8034258833502753,0.9283590803518239,0.929058251450308,0.7420537943335394,0.9129900827133973,1.0,0.9931526833188725,0.9927186488340312
Gyro_Y_rms_mid,0.6803536243326808,0.8264721422262229,0.9410826382863409,0.9364136540790823,0.7680031600748657,0.924782063911813,0.9931526833188725,1.0,0.9989006770959621
Gyro_Y_rms_high,0.6779725479886958,0.8256489044969313,0.9440004215491568,0.9365549543331039,0.7674211108519634,0.9243068964479919,0.9927186488340312,0.9989006770959621,1.0
