feature,label_correlation,abs_correlation
acc_Sum_rms_low,-0.24181461150063943,0.24181461150063943
acc_Sum_rms_high,-0.2288369169417164,0.2288369169417164
acc_Y_rms_high,-0.22851996474949984,0.22851996474949984
acc_Y_rms_mid,-0.2246669559127704,0.2246669559127704
acc_Y_rms_low,-0.223326603358365,0.223326603358365
Gyro_Y_rms_low,-0.21084028888904377,0.21084028888904377
Gyro_Y_rms_mid,-0.21052917503358484,0.21052917503358484
Gyro_Y_rms_high,-0.20703694950954554,0.20703694950954554
acc_Sum_rms_mid,-0.1371386312338338,0.1371386312338338
